area_type,availability,location,size,society,total_sqft,bath,balcony,price,total_sqft_clean,bhk,price_per_sqft,location_grouped
Plot  Area,18-Apr,Maruthi nagar kogilu,2 Bedroom,Unknown,1200,3.0,0.0,78.0,1200.0,2,6500.0,other
Super built-up  Area,Ready To Move,Kothanur,3 BHK,Unknown,1581,3.0,3.0,76.0,1581.0,3,4807.084123972169,Kothanur
Super built-up  Area,18-Dec,Whitefield,4 BHK,Prtates,2882,5.0,1.0,200.0,2882.0,4,6939.625260235947,Whitefield
Super built-up  Area,Ready To Move,Krishna Reddy Layout,3 BHK,RahtsHe,2180,3.0,3.0,273.0,2180.0,3,12522.935779816513,other
Super built-up  Area,Ready To Move,Abbigere,2 BHK,SLtias ,985,2.0,1.0,38.92,985.0,2,3951.269035532995,Abbigere
Built-up  Area,Ready To Move,Sarjapur,2 BHK,Sondaka,950,2.0,2.0,35.0,950.0,2,3684.2105263157896,Sarjapur
Super built-up  Area,Ready To Move,Jai Bheema Nagar,2 BHK,Unknown,1339,2.0,2.0,55.0,1339.0,2,4107.542942494399,other
Super built-up  Area,Ready To Move,Ayappa Nagar,3 BHK,Spity E,1449,3.0,1.0,72.0,1449.0,3,4968.944099378882,other
Plot  Area,Ready To Move,Chikkasandra,4 Bedroom,Unknown,1200,4.0,2.0,180.0,1200.0,4,15000.0,other
Super built-up  Area,18-May,Brindavan Layout,2 BHK,Unknown,1100,2.0,2.0,38.68,1100.0,2,3516.3636363636365,other
Super built-up  Area,Ready To Move,Hoskote,2 BHK,Soose P,929 - 1078,2.0,0.0,28.095,1003.5,2,2799.701046337818,Hoskote
Super built-up  Area,Ready To Move,Billamaranahalli,2 BHK,Unknown,1100,2.0,3.0,55.0,1100.0,2,5000.0,other
Built-up  Area,18-Dec,Electronic City,2 BHK,Unknown,1140,2.0,1.0,32.92,1140.0,2,2887.719298245614,Electronic City
Super built-up  Area,Ready To Move,Hanumantha Nagar,8 BHK,Unknown,3300,8.0,3.0,310.0,3300.0,8,9393.939393939394,other
Built-up  Area,Ready To Move,Chandapura,2 BHK,Unknown,800,1.0,2.0,30.0,800.0,2,3750.0,Chandapura
Built-up  Area,Ready To Move,Chikkabanavar,5 Bedroom,Unknown,2000,4.0,0.0,65.0,2000.0,5,3250.0,other
Plot  Area,Ready To Move,Prasanti Nagar,4 Bedroom,Unknown,1200,4.0,1.0,190.0,1200.0,4,15833.333333333334,other
Built-up  Area,Ready To Move,3rd Block Hrbr Layout,2 BHK,Icncy R,1300,2.0,3.0,95.0,1300.0,2,7307.692307692308,other
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Hahtsya,1220,2.0,2.0,60.0,1220.0,2,4918.0327868852455,Kanakpura Road
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,SoniaEt,2289,3.0,2.0,178.0,2289.0,3,7776.321537789428,Sarjapur  Road
Super built-up  Area,18-Jan,Whitefield,2 BHK,Suhamra,1170,2.0,1.0,56.0,1170.0,2,4786.324786324786,Whitefield
Super built-up  Area,Ready To Move,Vignana Nagar,2 BHK,Unknown,1350,2.0,2.0,89.5,1350.0,2,6629.62962962963,other
Built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1698,3.0,2.0,125.0,1698.0,3,7361.601884570083,Thanisandra
Super built-up  Area,18-May,Electronic City Phase II,4 BHK,SNbay G,2150 - 2225,4.0,0.0,105.0,2187.5,4,4800.0,Electronic City Phase II
Super built-up  Area,Ready To Move,Ambalipura,2 BHK,Unknown,1060,2.0,1.0,58.5,1060.0,2,5518.867924528302,Ambalipura
Super built-up  Area,Ready To Move,Somasundara Palya,2 BHK,ManceEl,1185,2.0,2.0,75.0,1185.0,2,6329.113924050633,Somasundara Palya
Super built-up  Area,20-Dec,Padmanabhanagar,3 BHK,SollyCl,2051,3.0,1.0,180.0,2051.0,3,8776.206728425159,Padmanabhanagar
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Unknown,1404,2.0,1.0,72.0,1404.0,2,5128.205128205128,Vittasandra
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,Brods W,1252,2.0,1.0,67.0,1252.0,2,5351.437699680511,Electronic City Phase II
Super built-up  Area,18-Mar,Bannerghatta Road,3 BHK,Unknown,1885,3.0,1.0,125.0,1885.0,3,6631.29973474801,Bannerghatta Road
Built-up  Area,Ready To Move,Kaikondrahalli,6 BHK,Unknown,3381,6.0,3.0,225.0,3381.0,6,6654.835847382431,Kaikondrahalli
Super built-up  Area,Ready To Move,Hormavu,2 BHK,Unknown,980,2.0,2.0,42.0,980.0,2,4285.714285714285,Hormavu
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,PhestOn,2500,3.0,3.0,340.0,2500.0,3,13600.0,Rajaji Nagar
Super built-up  Area,19-Jan,Banashankari,3 BHK,Unknown,1420,3.0,1.0,66.0,1420.0,3,4647.887323943662,Banashankari
Built-up  Area,Ready To Move,"Banasawadi,",3 BHK,Unknown,2312,3.0,2.0,156.0,2312.0,3,6747.404844290658,other
Super built-up  Area,Ready To Move,Kaggadasapura,4 BHK,Golmsoy,3000,4.0,2.0,130.0,3000.0,4,4333.333333333333,Kaggadasapura
Built-up  Area,Ready To Move,Jayamahal,2 BHK,Unknown,1175,2.0,1.0,70.0,1175.0,2,5957.446808510638,other
Super built-up  Area,Ready To Move,Vinayaka Nagar,2 BHK,Unknown,1145,2.0,2.0,51.0,1145.0,2,4454.14847161572,other
Built-up  Area,Ready To Move,Bhoganhalli,2 BHK,Suwerlo,970,2.0,1.0,52.5,970.0,2,5412.371134020618,Bhoganhalli
Super built-up  Area,19-Sep,Whitefield,3 BHK,DSersus,1520 - 1759,3.0,0.0,92.63,1639.5,3,5649.893260140287,Whitefield
Built-up  Area,Ready To Move,9th Phase JP Nagar,4 BHK,ImiteEl,5000,4.0,2.0,300.0,5000.0,4,6000.0,9th Phase JP Nagar
Built-up  Area,Ready To Move,3rd Block Jayanagar,3 BHK,Unknown,2150,3.0,3.0,240.0,2150.0,3,11162.790697674418,other
Super built-up  Area,18-Jul,Ramagondanahalli,3 BHK,ViistLa,1635,3.0,1.0,57.0,1635.0,3,3486.238532110092,Ramagondanahalli
Built-up  Area,19-Mar,Hennur Road,4 Bedroom,Gollela,2950,4.0,3.0,253.0,2950.0,4,8576.271186440677,Hennur Road
Super built-up  Area,18-Dec,Jalahalli,1 BHK,Vaniai ,1200,2.0,1.0,66.0,1200.0,1,5500.0,Jalahalli
Super built-up  Area,Ready To Move,Kathriguppe,3 BHK,Unknown,1335,2.0,2.0,73.43,1335.0,3,5500.374531835207,Kathriguppe
Super built-up  Area,Ready To Move,Hebbal,4 BHK,Brium C,4450,6.0,0.0,449.0,4450.0,4,10089.887640449439,Hebbal
Super built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,IBityin,1166,2.0,1.0,64.08,1166.0,2,5495.711835334477,Yeshwanthpur
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,PhestOn,2390,3.0,1.0,372.0,2390.0,3,15564.853556485356,Rajaji Nagar
Super built-up  Area,Ready To Move,Shivaji Nagar,3 BHK,Unknown,1460,2.0,1.0,90.0,1460.0,3,6164.3835616438355,Shivaji Nagar
Super built-up  Area,Ready To Move,Gulimangala,3 BHK,Daxir E,1690,3.0,3.0,50.0,1690.0,3,2958.579881656805,other
Plot  Area,Ready To Move,Nagashetty Halli,4 Bedroom,Unknown,1386,3.0,2.0,93.0,1386.0,4,6709.95670995671,other
Super built-up  Area,Ready To Move,Devasandra Extension,2 BHK,Unknown,1090,2.0,2.0,32.0,1090.0,2,2935.7798165137615,other
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Unknown,1390,2.0,1.0,72.0,1390.0,2,5179.856115107914,Whitefield
Built-up  Area,Ready To Move,Sector 2 HSR Layout,2 BHK,DShtsow,1095,2.0,1.0,85.41,1095.0,2,7800.0,Sector 2 HSR Layout
Super built-up  Area,19-Dec,Kengeri,1 BHK,VBn 2lm,416,1.0,1.0,17.19,416.0,1,4132.211538461539,Kengeri
Super built-up  Area,Ready To Move,Channasandra Layout,3 BHK,Unknown,2400,2.0,3.0,50.0,2400.0,3,2083.3333333333335,other
Built-up  Area,Ready To Move,Yelahanka,3 BHK,NCs 2rj,1350,2.0,3.0,85.0,1350.0,3,6296.2962962962965,Yelahanka
Built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,Unknown,1453,2.0,2.0,73.0,1453.0,3,5024.088093599449,Bannerghatta Road
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Moity S,1226,2.0,1.0,65.0,1226.0,2,5301.794453507341,Thanisandra
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,Dhniail,1168,2.0,1.0,68.0,1168.0,3,5821.917808219178,Hegde Nagar
Super built-up  Area,19-Dec,Bannerghatta,3 BHK,Mamespa,1776,3.0,2.0,124.0,1776.0,3,6981.981981981982,Bannerghatta
Built-up  Area,Ready To Move,Whitefield,3 BHK,CMionsy,1634,3.0,2.0,68.0,1634.0,3,4161.566707466341,Whitefield
Plot  Area,Ready To Move,Hormavu,2 Bedroom,Unknown,860,2.0,0.0,56.0,860.0,2,6511.627906976744,Hormavu
Plot  Area,Ready To Move,Kamala Nagar,3 Bedroom,Unknown,2800,3.0,1.0,400.0,2800.0,3,14285.714285714286,other
Super built-up  Area,Ready To Move,Nagasandra,3 BHK,Unknown,1650,3.0,2.0,95.0,1650.0,3,5757.575757575758,other
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Pae 1ov,1190,2.0,1.0,70.0,1190.0,2,5882.35294117647,Whitefield
Super built-up  Area,18-Aug,JP Nagar,2 BHK,DSvvyx ,1133,2.0,1.0,33.99,1133.0,2,3000.0,JP Nagar
Super built-up  Area,Ready To Move,Suraksha Nagar,3 BHK,AritaFe,1559,3.0,2.0,62.0,1559.0,3,3976.9082745349583,other
Super built-up  Area,Ready To Move,Sathya Sai Layout,4 BHK,Prowshi,6652,6.0,1.0,510.0,6652.0,4,7666.867107636801,other
Super built-up  Area,Ready To Move,Kodichikkanahalli,2 BHK,Prs 2hi,976,2.0,1.0,50.0,976.0,2,5122.950819672131,Kodichikkanahalli
Plot  Area,Ready To Move,Bank Of Baroda Colony,4 Bedroom,Unknown,1350,4.0,3.0,240.0,1350.0,4,17777.777777777777,other
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Unknown,1590,2.0,2.0,54.0,1590.0,3,3396.2264150943397,Yelahanka
Super built-up  Area,19-Dec,Binny Pete,4 BHK,Shestlo,2940,6.0,2.0,201.0,2940.0,4,6836.734693877551,Binny Pete
Built-up  Area,Ready To Move,Yelahanka,3 BHK,NCarkna,1633,3.0,2.0,110.0,1633.0,3,6736.068585425597,Yelahanka
Super built-up  Area,18-Aug,Ramagondanahalli,2 BHK,ViistLa,1151,2.0,2.0,46.0,1151.0,2,3996.524761077324,Ramagondanahalli
Super built-up  Area,Ready To Move,Kereguddadahalli,3 BHK,DSdorSp,1400,2.0,2.0,42.0,1400.0,3,3000.0,Kereguddadahalli
Super built-up  Area,17-Apr,Uttarahalli,2 BHK,DSera S,1037,2.0,1.0,36.0,1037.0,2,3471.552555448409,Uttarahalli
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,SLaceda,1188,2.0,1.0,36.0,1188.0,2,3030.3030303030305,Thanisandra
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar 5th Stage,2 BHK,Amnavdr,1060,2.0,1.0,52.0,1060.0,2,4905.66037735849,other
Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,Prtanha,2215,4.0,2.0,162.0,2215.0,3,7313.769751693002,Thigalarapalya
Super built-up  Area,Ready To Move,Hennur,2 BHK,Unknown,1255,2.0,2.0,54.5,1255.0,2,4342.629482071713,Hennur
Plot  Area,Ready To Move,Ganesha Block,3 Bedroom,Unknown,2500,2.0,1.0,300.0,2500.0,3,12000.0,other
Super built-up  Area,17-Apr,Harlur,4 BHK,Prncyrn,2569,5.0,3.0,180.0,2569.0,4,7006.617360840794,Harlur
Super built-up  Area,18-Dec,ITPL,2 BHK,Unknown,900,2.0,1.0,27.0,900.0,2,3000.0,ITPL
Super built-up  Area,18-Aug,Kudlu Gate,2 BHK,Sanzaat,1183,2.0,1.0,79.54,1183.0,2,6723.584108199494,Kudlu Gate
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,Veyal V,1100,2.0,2.0,44.0,1100.0,2,4000.0,HSR Layout
Super built-up  Area,Ready To Move,GM Palaya,3 BHK,Unknown,1643,2.0,2.0,70.0,1643.0,3,4260.49908703591,GM Palaya
Super built-up  Area,Ready To Move,Banagiri Nagar,3 BHK,Unknown,1500,2.0,2.0,120.0,1500.0,3,8000.0,other
Super built-up  Area,Ready To Move,Jakkur,2 BHK,HRaniIb,1291,2.0,1.0,75.0,1291.0,2,5809.450038729667,Jakkur
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1060,2.0,1.0,55.0,1060.0,2,5188.679245283019,Electronic City
Built-up  Area,Ready To Move,Byrathi Village,4 Bedroom,Unknown,1700,3.0,2.0,55.0,1700.0,4,3235.294117647059,other
Super built-up  Area,Ready To Move,Mahadevpura,2 BHK,Neisei ,1236,2.0,1.0,58.0,1236.0,2,4692.556634304207,Mahadevpura
Built-up  Area,Ready To Move,Ramamurthy Nagar,3 BHK,Unknown,1350,2.0,2.0,39.0,1350.0,3,2888.8888888888887,Ramamurthy Nagar
Built-up  Area,Ready To Move,Pai Layout,6 Bedroom,Unknown,3800,6.0,2.0,175.0,3800.0,6,4605.263157894737,Pai Layout
Built-up  Area,Ready To Move,Haralur Road,4 BHK,Oznzaes,4694,5.0,2.0,375.0,4694.0,4,7988.9220281210055,Haralur Road
Built-up  Area,18-Dec,Electronic City,2 BHK,Unknown,1200,2.0,1.0,34.66,1200.0,2,2888.333333333333,Electronic City
Plot  Area,Ready To Move,Hulimavu,4 Bedroom,Unknown,1200,4.0,1.0,75.0,1200.0,4,6250.0,Hulimavu
Built-up  Area,Ready To Move,Harlur,2 BHK,Unknown,1225,2.0,2.0,56.0,1225.0,2,4571.428571428572,Harlur
Super built-up  Area,18-Apr,Thanisandra,2 BHK,Bhmesy ,1056,2.0,1.0,75.0,1056.0,2,7102.272727272727,Thanisandra
Super built-up  Area,18-Jun,9th Phase JP Nagar,3 BHK,Unknown,1240,2.0,2.0,42.85,1240.0,3,3455.6451612903224,9th Phase JP Nagar
Super built-up  Area,17-Oct,Banashankari,3 BHK,Unknown,1200,3.0,2.0,74.52,1200.0,3,6210.0,Banashankari
Super built-up  Area,18-Dec,Kudlu Gate,3 BHK,Sanzaat,1850,3.0,2.0,110.0,1850.0,3,5945.945945945946,Kudlu Gate
Super built-up  Area,Ready To Move,Amblipura,4 BHK,IDldsin,3150,4.0,3.0,180.0,3150.0,4,5714.285714285715,other
Built-up  Area,Ready To Move,Naganathapura,1 Bedroom,Unknown,1200,1.0,0.0,39.82,1200.0,1,3318.3333333333335,other
Built-up  Area,Ready To Move,Konena Agrahara,5 Bedroom,Unknown,3520,6.0,1.0,460.0,3520.0,5,13068.181818181818,other
Super built-up  Area,Ready To Move,Jigani,2 BHK,DLhtsan,918,2.0,2.0,56.0,918.0,2,6100.217864923748,Jigani
Super built-up  Area,Ready To Move,GD Layout,3 BHK,Unknown,1330,2.0,2.0,68.0,1330.0,3,5112.7819548872185,other
Built-up  Area,Ready To Move,Munnekollal,3 BHK,Raisys ,1540,2.0,3.0,70.0,1540.0,3,4545.454545454545,Munnekollal
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,RothaVa,1200,2.0,2.0,80.0,1200.0,2,6666.666666666667,Lakshminarayana Pura
Super built-up  Area,18-Dec,Sunkan palya,2 BHK,Unknown,927,2.0,2.0,37.0,927.0,2,3991.3700107874865,other
Built-up  Area,19-Jun,Sarjapur,4 Bedroom,Caonand,2580 - 2591,4.0,0.0,115.0,2585.5,4,4447.882421195127,Sarjapur
Super built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,Unknown,1400,2.0,2.0,78.0,1400.0,3,5571.428571428572,CV Raman Nagar
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,HMityld,1510,2.0,3.0,80.0,1510.0,2,5298.013245033113,8th Phase JP Nagar
Plot  Area,18-Aug,ITPL,3 Bedroom,Unknown,1500,3.0,1.0,61.52,1500.0,3,4101.333333333333,ITPL
Super built-up  Area,19-Dec,Yelahanka,1 BHK,Goues A,629 - 1026,1.0,0.0,42.535,827.5,1,5140.181268882176,Yelahanka
Super built-up  Area,Ready To Move,Vidyaranyapura,3 BHK,Unknown,1100,2.0,2.0,72.0,1100.0,3,6545.454545454545,Vidyaranyapura
Built-up  Area,Ready To Move,Sunkadakatte,3 Bedroom,Unknown,1200,3.0,1.0,68.0,1200.0,3,5666.666666666667,other
Carpet  Area,19-Jun,Hormavu,4 BHK,Kolisl ,2282,4.0,0.0,115.0,2282.0,4,5039.439088518843,Hormavu
Built-up  Area,Ready To Move,Jayanti Nagar,2 BHK,Unknown,760,2.0,1.0,37.49,760.0,2,4932.894736842105,other
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,Corix B,2172,3.0,0.0,100.0,2172.0,3,4604.051565377532,Sarjapur
Super built-up  Area,Ready To Move,Yeshwanthpur Industrial Suburb,6 BHK,Essic C,3800,6.0,2.0,390.0,3800.0,6,10263.157894736842,other
Super built-up  Area,Ready To Move,8th Phase JP Nagar,3 BHK,Unknown,3300,3.0,2.0,165.0,3300.0,3,5000.0,8th Phase JP Nagar
Super built-up  Area,19-Mar,Thubarahalli,3 BHK,Unknown,1242,3.0,1.0,51.0,1242.0,3,4106.280193236715,Thubarahalli
Plot  Area,Ready To Move,Moodalapalya,1 Bedroom,Unknown,410,1.0,1.0,48.0,410.0,1,11707.317073170732,other
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,SLnssPr,1245,2.0,2.0,43.58,1245.0,3,3500.401606425703,Uttarahalli
Built-up  Area,Ready To Move,Kadugodi,2 BHK,Unknown,1088,2.0,2.0,44.0,1088.0,2,4044.1176470588234,Kadugodi
Built-up  Area,Ready To Move,Sahakara Nagar,2 BHK,VincyRe,1200,2.0,0.0,46.0,1200.0,2,3833.3333333333335,Sahakara Nagar
Plot  Area,Ready To Move,TC Palaya,3 Bedroom,Unknown,1995,3.0,1.0,100.0,1995.0,3,5012.5313283208025,TC Palaya
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,Unknown,1309,2.0,1.0,82.0,1309.0,2,6264.323911382735,Haralur Road
Super built-up  Area,Ready To Move,BTM 1st Stage,3 BHK,Unknown,1717,3.0,2.0,200.0,1717.0,3,11648.223645894,other
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,BriumMi,2100,3.0,2.0,200.0,2100.0,3,9523.809523809523,7th Phase JP Nagar
Plot  Area,Ready To Move,Gayathri Nagar,2 Bedroom,Unknown,880,1.0,0.0,90.0,880.0,2,10227.272727272728,other
Super built-up  Area,18-Aug,Maruthi Nagar,3 BHK,Unknown,1250,3.0,2.0,42.0,1250.0,3,3360.0,other
Super built-up  Area,Ready To Move,Hebbal,3 BHK,Brium C,3520,5.0,2.0,240.0,3520.0,3,6818.181818181818,Hebbal
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,Mangsr ,1041,2.0,2.0,54.0,1041.0,2,5187.319884726225,5th Phase JP Nagar
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Shthi S,1505,2.0,2.0,60.0,1505.0,3,3986.7109634551493,Sarjapur  Road
Super built-up  Area,18-Jul,Bannerghatta,3 BHK,Mamespa,1776,3.0,2.0,150.0,1776.0,3,8445.945945945947,Bannerghatta
Super built-up  Area,Ready To Move,Bellandur,3 BHK,OriewLa,1767,3.0,2.0,89.0,1767.0,3,5036.785512167516,Bellandur
Super built-up  Area,Ready To Move,Kengeri,2 BHK,Unknown,1320,2.0,1.0,50.0,1320.0,2,3787.878787878788,Kengeri
Built-up  Area,Ready To Move,Bhuvaneshwari Nagar,2 BHK,Viowsen,1280,2.0,2.0,68.48,1280.0,2,5350.0,other
Super built-up  Area,19-Mar,Thanisandra,2 BHK,Bhe 2ko,1245,2.0,1.0,83.05,1245.0,2,6670.682730923695,Thanisandra
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,Unknown,1027,1.0,2.0,44.0,1027.0,2,4284.323271665044,Haralur Road
Built-up  Area,Ready To Move,Yelenahalli,2 BHK,Unknown,1200,2.0,1.0,46.17,1200.0,2,3847.5,Yelenahalli
Super built-up  Area,21-Dec,Kanakpura Road,3 BHK,PrarePa,1100,3.0,2.0,58.0,1100.0,3,5272.727272727273,Kanakpura Road
Plot  Area,Ready To Move,Medahalli,3 Bedroom,Unknown,1065,3.0,1.0,72.0,1065.0,3,6760.56338028169,other
Super built-up  Area,21-Dec,Kannamangala,3 BHK,Sonue A,1814,3.0,1.0,129.0,1814.0,3,7111.35611907387,Kannamangala
Super built-up  Area,Ready To Move,Ramagondanahalli,3 BHK,DNeremo,1610,2.0,1.0,112.0,1610.0,3,6956.521739130435,Ramagondanahalli
Built-up  Area,Ready To Move,Kumaraswami Layout,1 Bedroom,Unknown,850,1.0,1.0,78.0,850.0,1,9176.470588235294,Kumaraswami Layout
Super built-up  Area,18-Jul,Kasavanhalli,3 BHK,Oca 2 V,1600,3.0,3.0,79.0,1600.0,3,4937.5,Kasavanhalli
Super built-up  Area,Ready To Move,Old Mangammanapalya Road,3 BHK,Unknown,3200,4.0,2.0,140.0,3200.0,3,4375.0,other
Built-up  Area,Ready To Move,Canara Bank Colony,3 BHK,Unknown,1250,2.0,1.0,77.13,1250.0,3,6170.4,other
Super built-up  Area,Ready To Move,Ittamadu,3 BHK,Naory G,1475,3.0,3.0,75.0,1475.0,3,5084.745762711865,other
Super built-up  Area,Ready To Move,Electronic City,2 BHK,SJityVe,1353,2.0,3.0,75.0,1353.0,2,5543.2372505543235,Electronic City
Carpet  Area,Ready To Move,Maruthi Sevanagar,4 Bedroom,Unknown,2100,3.0,0.0,210.0,2100.0,4,10000.0,other
Super built-up  Area,21-Aug,Electronics City Phase 1,3 BHK,Unknown,1750,3.0,2.0,58.0,1750.0,3,3314.285714285714,Electronics City Phase 1
Built-up  Area,Ready To Move,Sahakara Nagar,2 BHK,Rauil T,1270,2.0,1.0,96.0,1270.0,2,7559.055118110236,Sahakara Nagar
Built-up  Area,Ready To Move,Battarahalli,4 Bedroom,Unknown,2700,3.0,0.0,75.0,2700.0,4,2777.777777777778,Battarahalli
Built-up  Area,19-May,Thanisandra,4 BHK,G conTh,2695,4.0,3.0,188.0,2695.0,4,6975.881261595548,Thanisandra
Super built-up  Area,Ready To Move,Hessarghatta,3 BHK,StwarSi,1330,3.0,2.0,65.0,1330.0,3,4887.2180451127815,other
Built-up  Area,Ready To Move,Electronic City,2 BHK,Unknown,660,1.0,0.0,18.0,660.0,2,2727.2727272727275,Electronic City
Super built-up  Area,Ready To Move,BTM 2nd Stage,2 BHK,Catle C,1400,2.0,3.0,90.0,1400.0,2,6428.571428571428,BTM 2nd Stage
Built-up  Area,Ready To Move,Gubbalala,4 BHK,Unknown,4000,5.0,1.0,195.0,4000.0,4,4875.0,Gubbalala
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,PuandHi,1700,3.0,2.0,75.0,1700.0,3,4411.764705882353,Kanakpura Road
Built-up  Area,Ready To Move,Kasavanhalli,2 BHK,Bhensa ,1585,2.0,2.0,90.0,1585.0,2,5678.233438485804,Kasavanhalli
Super built-up  Area,Ready To Move,Kothanur,3 BHK,Unknown,1385,3.0,3.0,67.0,1385.0,3,4837.545126353791,Kothanur
Super built-up  Area,18-Jul,Electronic City,2 BHK,Prarkun,1128,2.0,1.0,67.0,1128.0,2,5939.7163120567375,Electronic City
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,VaiewV ,1203,2.0,2.0,60.0,1203.0,2,4987.5311720698255,HSR Layout
Super built-up  Area,Ready To Move,Mallasandra,2 BHK,Shbhi S,905,2.0,1.0,35.0,905.0,2,3867.403314917127,Mallasandra
Super built-up  Area,19-Mar,Hennur Road,3 BHK,Orens G,1450,3.0,2.0,79.0,1450.0,3,5448.275862068966,Hennur Road
Super built-up  Area,Ready To Move,Varthur,2 BHK,MKllei ,1105,2.0,3.0,38.0,1105.0,2,3438.914027149321,Varthur
Plot  Area,18-Apr,Channasandra,2 Bedroom,Unknown,1200,2.0,1.0,46.13,1200.0,2,3844.1666666666665,Channasandra
Super built-up  Area,Ready To Move,Jalahalli,3 BHK,Vanami ,1530,2.0,3.0,89.0,1530.0,3,5816.993464052288,Jalahalli
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SMuilan,1105,2.0,1.0,35.4,1105.0,2,3203.6199095022625,Whitefield
Super built-up  Area,18-Jul,Dasarahalli,2 BHK,KSliaor,1333,2.0,1.0,78.56,1333.0,2,5893.473368342085,Dasarahalli
Built-up  Area,17-Sep,Hongasandra,2 BHK,Unknown,1065,2.0,2.0,45.0,1065.0,2,4225.352112676056,other
Super built-up  Area,18-Dec,Old Madras Road,3 BHK,Saesttt,1530,3.0,2.0,76.34,1530.0,3,4989.5424836601305,Old Madras Road
Plot  Area,Ready To Move,Margondanahalli,2 Bedroom,Unknown,1200,2.0,1.0,65.0,1200.0,2,5416.666666666667,Margondanahalli
Super built-up  Area,Ready To Move,Whitefield,2 BHK,BrlisCo,1270,2.0,1.0,94.0,1270.0,2,7401.574803149606,Whitefield
Super built-up  Area,Ready To Move,Bellandur,3 BHK,OriewLa,1830,3.0,3.0,89.0,1830.0,3,4863.3879781420765,Bellandur
Super built-up  Area,Ready To Move,Chandapura,2 BHK,Unknown,900,2.0,3.0,35.0,900.0,2,3888.8888888888887,Chandapura
Plot  Area,Ready To Move,Varsova Layout,6 Bedroom,Unknown,7000,6.0,2.0,560.0,7000.0,6,8000.0,other
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1450,2.0,2.0,78.0,1450.0,3,5379.310344827586,Bannerghatta Road
Super built-up  Area,Ready To Move,J C Nagar,3 BHK,Unknown,1525,3.0,3.0,65.0,1525.0,3,4262.295081967213,other
Built-up  Area,Ready To Move,Mahalakshmi Layout,2 BHK,Unknown,1080,2.0,1.0,67.0,1080.0,2,6203.7037037037035,other
Built-up  Area,Ready To Move,Bagalur Main Road,2 BHK,Unknown,1220,2.0,2.0,72.0,1220.0,2,5901.639344262295,other
Super built-up  Area,Ready To Move,Bommanahalli,2 BHK,SNeur G,1215 - 1495,2.0,0.0,73.17,1355.0,2,5400.0,Bommanahalli
Plot  Area,Ready To Move,R.T. Nagar,3 Bedroom,Unknown,2400,3.0,0.0,348.0,2400.0,3,14500.0,R.T. Nagar
Super built-up  Area,Ready To Move,Govindapura,2 BHK,Unknown,1500,2.0,2.0,60.0,1500.0,2,4000.0,other
Built-up  Area,Ready To Move,Koramangala,2 BHK,Unknown,1355,2.0,2.0,95.0,1355.0,2,7011.070110701107,Koramangala
Built-up  Area,17-Jul,Electronic City,2 BHK,GMown E,1070,2.0,1.0,57.0,1070.0,2,5327.102803738318,Electronic City
Super built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,Pu270a ,1980,4.0,1.0,180.0,1980.0,3,9090.90909090909,CV Raman Nagar
Super built-up  Area,Ready To Move,Bommasandra,2 BHK,Niara S,842,2.0,2.0,30.0,842.0,2,3562.9453681710215,Bommasandra
Super built-up  Area,Ready To Move,Bannerghatta Road,1 BHK,Baanise,700,1.0,1.0,31.2,700.0,1,4457.142857142857,Bannerghatta Road
Built-up  Area,Ready To Move,"Kanakapura Road,",3 Bedroom,Unknown,1884,3.0,2.0,95.0,1884.0,3,5042.462845010616,other
